season,round,id,abbr,type,totalPoints,nnTotalPoints
2025,18,VRB_TSU,TSU,driver,-25,0
2025,18,WIL_ALB,ALB,driver,6,11
2025,18,WIL_SAI,SAI,driver,8,13
2025,19,ALP_COL,COL,driver,7,9
2025,19,ALP_DOO,DOO,driver,-45,0
2025,19,ALP_GAS,GAS,driver,3,8
2025,19,AST_ALO,ALO,driver,-16,4
2025,19,AST_STR,STR,driver,-3,17
2025,19,FER_HAM,HAM,driver,32,32
2025,19,FER_LEC,LEC,driver,48,48
2025,19,HAA_BEA,BEA,driver,14,15
2025,19,HAA_OCO,OCO,driver,-8,12
2025,19,KCK_BOR,BOR,driver,17,19
2025,19,KCK_HUL,HUL,driver,2,11
2025,19,MCL_NOR,NOR,driver,9,29
2025,19,MCL_PIA,PIA,driver,-2,18
2025,19,MER_ANT,ANT,driver,22,28
2025,19,MER_RUS,RUS,driver,24,26
2025,19,RED_LAW,LAW,driver,-45,0
2025,19,RED_TSU,TSU,driver,37,37
2025,19,RED_VER,VER,driver,48,48
2025,19,VRB_HAD,HAD,driver,3,8
2025,19,VRB_LAW,LAW,driver,15,15
2025,19,VRB_TSU,TSU,driver,-45,0
2025,19,WIL_ALB,ALB,driver,20,20
2025,19,WIL_SAI,SAI,driver,-3,17
2025,20,ALP_COL,COL,driver,4,4
2025,20,ALP_DOO,DOO,driver,-25,0
2025,20,ALP_GAS,GAS,driver,9,9
2025,20,AST_ALO,ALO,driver,-15,5
2025,20,AST_STR,STR,driver,14,14
2025,20,FER_HAM,HAM,driver,14,19
2025,20,FER_LEC,LEC,driver,29,29
2025,20,HAA_BEA,BEA,driver,36,36
2025,20,HAA_OCO,OCO,driver,9,9
2025,20,KCK_BOR,BOR,driver,12,12
2025,20,KCK_HUL,HUL,driver,-16,4
2025,20,MCL_NOR,NOR,driver,36,36
2025,20,MCL_PIA,PIA,driver,25,25
2025,20,MER_ANT,ANT,driver,20,20
2025,20,MER_RUS,RUS,driver,23,26
2025,20,RED_LAW,LAW,driver,-25,0
2025,20,RED_TSU,TSU,driver,3,4
2025,20,RED_VER,VER,driver,26,26
2025,20,VRB_HAD,HAD,driver,-2,3
2025,20,VRB_LAW,LAW,driver,-18,2
2025,20,VRB_TSU,TSU,driver,-25,0
2025,20,WIL_ALB,ALB,driver,13,13
2025,20,WIL_SAI,SAI,driver,6,11
2025,21,ALP_COL,COL,driver,-16,4
2025,21,ALP_DOO,DOO,driver,-45,0
2025,21,ALP_GAS,GAS,driver,21,22
2025,21,AST_ALO,ALO,driver,2,6
2025,21,AST_STR,STR,driver,-1,3
2025,21,FER_HAM,HAM,driver,-11,9
2025,21,FER_LEC,LEC,driver,-2,18
2025,21,HAA_BEA,BEA,driver,30,30
2025,21,HAA_OCO,OCO,driver,17,17
2025,21,KCK_BOR,BOR,driver,-24,5
